MI0000554	mmu-mir-200a;
MI0000555	mmu-mir-208;mmu-mir-208a;
MI0000556	mmu-let-7a-1;
MI0000557	mmu-let-7a-2;
MI0000558	mmu-let-7b;
MI0000559	mmu-let-7c-1;
MI0000560	mmu-let-7c-2;
MI0000561	mmu-let-7e;
MI0000562	mmu-let-7f-1;
MI0000563	mmu-let-7f-2;
MI0000564	mmu-mir-15a;
MI0000565	mmu-mir-16-1;
MI0000566	mmu-mir-16-2;
MI0000567	mmu-mir-18;mmu-mir-18a;
MI0000568	mmu-mir-20;mmu-mir-20a;
MI0000569	mmu-mir-21;mmu-mir-21a;
MI0000570	mmu-mir-22;
MI0000571	mmu-mir-23a;
MI0000572	mmu-mir-24-2;
MI0000573	mmu-mir-26a-1;
MI0000574	mmu-mir-26a-2;
MI0000575	mmu-mir-26b;
MI0000576	mmu-mir-29a;
MI0000577	mmu-mir-29c;
MI0000578	mmu-mir-27a;
MI0000579	mmu-mir-31;
MI0000580	mmu-mir-92;mmu-mir-92-2;mmu-mir-92a-2;
MI0000581	mmu-mir-93;
MI0000583	mmu-mir-96;
MI0000584	mmu-mir-172;mmu-mir-34c;mmu-mir-34a;
MI0000585	mmu-mir-129-2;
MI0000586	mmu-mir-98;
MI0000587	mmu-mir-103-1;
MI0000588	mmu-mir-103-2;
MI0000589	rno-mir-322;rno-mir-322-1;
MI0000590	mmu-mir-322;
MI0000591	rno-mir-323;
MI0000592	mmu-mir-323;
MI0000593	rno-mir-301;rno-mir-301a;
MI0000594	rno-mir-324;
MI0000595	mmu-mir-324;
MI0000596	rno-mir-325;
MI0000597	mmu-mir-325;
MI0000598	mmu-mir-326;
MI0000599	rno-mir-326;
MI0000600	rno-mir-327;
MI0000601	rno-let-7d;
MI0000602	rno-mir-328;rno-mir-328a;
MI0000603	mmu-mir-328;
MI0000604	rno-mir-329;
MI0000605	mmu-mir-329;
MI0000606	rno-mir-330;
MI0000607	mmu-mir-330;
MI0000608	rno-mir-331;
MI0000609	mmu-mir-331;
MI0000610	rno-mir-333;
MI0000611	rno-mir-140;
MI0000612	rno-mir-335;
MI0000613	rno-mir-336;
MI0000614	rno-mir-337;
MI0000615	mmu-mir-337;
MI0000616	rno-mir-148b;
MI0000617	mmu-mir-148b;
MI0000618	rno-mir-338;
MI0000619	mmu-mir-338;
MI0000620	rno-mir-339;
MI0000621	mmu-mir-339;
MI0000622	rno-mir-340;rno-mir-340-1;
MI0000623	mmu-mir-340;
MI0000624	rno-mir-341;
MI0000625	mmu-mir-341;
MI0000626	rno-mir-342;
MI0000627	mmu-mir-342;
MI0000628	rno-mir-343;
MI0000629	rno-mir-344;rno-mir-344-1;rno-mir-344a-1;
